user_id,rating_count,new_data
0,76.0,False
1,16.0,False
2,24.0,False
3,19.0,False
4,42.0,False
5,17.0,False
6,13.0,False
7,28.0,False
8,125.0,False
9,19.0,False
10,22.0,False
11,62.0,False
12,11.0,False
13,10.0,False
14,39.0,False
15,37.0,False
16,30.0,False
17,15.0,False
18,24.0,False
19,10.0,False
20,16.0,False
21,16.0,False
22,59.0,False
23,39.0,False
24,24.0,False
25,49.0,False
26,10.0,False
27,16.0,False
28,10.0,False
29,13.0,False
30,15.0,False
31,41.0,False
32,17.0,False
33,23.0,False
34,30.0,False
35,30.0,False
36,20.0,False
37,55.0,False
38,10.0,False
39,20.0,False
40,18.0,False
41,17.0,False
42,62.0,False
43,50.0,False
44,31.0,False
45,49.0,False
46,93.0,False
47,64.0,False
48,17.0,False
49,24.0,False
50,11.0,False
51,12.0,False
52,18.0,False
53,116.0,False
54,135.0,False
55,12.0,False
56,16.0,False
57,23.0,False
58,21.0,False
59,15.0,False
60,56.0,False
61,10.0,False
62,17.0,False
63,23.0,False
64,40.0,False
65,26.0,False
66,31.0,False
67,47.0,False
68,65.0,False
69,26.0,False
70,46.0,False
71,19.0,False
72,26.0,False
73,11.0,False
74,20.0,False
75,26.0,False
76,19.0,False
77,15.0,False
78,66.0,False
79,43.0,False
80,19.0,False
81,13.0,False
82,25.0,False
83,10.0,False
84,66.0,False
85,31.0,False
86,53.0,False
87,30.0,False
88,41.0,False
89,38.0,False
90,13.0,False
91,50.0,False
92,11.0,False
93,11.0,False
94,15.0,False
95,15.0,False
96,11.0,False
97,13.0,False
98,106.0,False
99,13.0,False
100,27.0,False
101,10.0,False
102,34.0,False
103,78.0,False
104,11.0,False
105,44.0,False
106,31.0,False
107,32.0,False
108,14.0,False
109,10.0,False
110,25.0,False
111,20.0,False
112,63.0,False
113,23.0,False
114,30.0,False
115,181.0,False
116,26.0,False
117,86.0,False
118,23.0,False
119,28.0,False
120,35.0,False
121,71.0,False
122,11.0,False
123,34.0,False
124,16.0,False
125,18.0,False
126,39.0,False
127,45.0,False
128,62.0,False
129,32.0,False
130,92.0,False
131,38.0,False
132,46.0,False
133,57.0,False
134,26.0,False
135,16.0,False
136,34.0,False
137,26.0,False
138,28.0,False
139,31.0,False
140,97.0,False
141,37.0,False
142,17.0,False
143,141.0,False
144,33.0,False
145,16.0,False
146,12.0,False
147,14.0,False
148,63.0,False
149,54.0,False
150,20.0,False
151,15.0,False
152,52.0,False
153,12.0,False
154,31.0,False
155,10.0,False
156,21.0,False
157,17.0,False
158,13.0,False
159,21.0,False
160,17.0,False
161,22.0,False
162,15.0,False
163,13.0,False
164,19.0,False
165,20.0,False
166,11.0,False
167,57.0,False
168,13.0,False
169,33.0,False
170,11.0,False
171,22.0,False
172,21.0,False
173,17.0,False
174,39.0,False
175,10.0,False
176,71.0,False
177,67.0,False
178,31.0,False
179,19.0,False
180,68.0,False
181,18.0,False
182,11.0,False
183,177.0,False
184,13.0,False
185,34.0,False
186,82.0,False
187,40.0,False
188,30.0,False
189,28.0,False
190,26.0,False
191,22.0,False
192,25.0,False
193,23.0,False
194,68.0,False
195,21.0,False
196,19.0,False
197,41.0,False
198,22.0,False
199,23.0,False
200,20.0,False
201,44.0,False
202,10.0,False
203,25.0,False
204,23.0,False
205,14.0,False
206,26.0,False
207,60.0,False
208,20.0,False
209,18.0,False
210,12.0,False
211,16.0,False
212,33.0,False
213,10.0,False
214,12.0,False
215,10.0,False
216,53.0,False
217,44.0,False
218,14.0,False
219,12.0,False
220,19.0,False
221,20.0,False
222,37.0,False
223,13.0,False
224,17.0,False
225,13.0,False
226,15.0,False
227,36.0,False
228,34.0,False
229,20.0,False
230,35.0,False
231,17.0,False
232,18.0,False
233,26.0,False
234,10.0,False
235,24.0,False
236,55.0,False
237,21.0,False
238,18.0,False
239,57.0,False
240,40.0,False
241,15.0,False
242,41.0,False
243,39.0,False
244,64.0,False
245,38.0,False
246,11.0,False
247,14.0,False
248,186.0,False
249,104.0,False
250,88.0,False
251,20.0,False
252,52.0,False
253,32.0,False
254,42.0,False
255,45.0,False
256,27.0,False
257,30.0,False
258,16.0,False
259,21.0,False
260,20.0,False
261,16.0,False
262,15.0,False
263,10.0,False
264,10.0,False
265,35.0,False
266,46.0,False
267,58.0,False
268,14.0,False
269,11.0,False
270,27.0,False
271,11.0,False
272,11.0,False
273,24.0,False
274,14.0,False
275,57.0,False
276,70.0,False
277,26.0,False
278,46.0,False
279,35.0,False
280,11.0,False
281,30.0,False
282,11.0,False
283,22.0,False
284,11.0,False
285,11.0,False
286,16.0,False
287,32.0,False
288,11.0,False
289,25.0,False
290,14.0,False
291,28.0,False
292,30.0,False
293,10.0,False
294,51.0,False
295,12.0,False
296,50.0,False
297,13.0,False
298,33.0,False
299,21.0,False
300,10.0,False
301,23.0,False
302,19.0,False
303,31.0,False
304,36.0,False
305,157.0,False
306,52.0,False
307,44.0,False
308,12.0,False
309,35.0,False
310,30.0,False
311,58.0,False
312,14.0,False
313,51.0,False
314,16.0,False
315,40.0,False
316,17.0,False
317,10.0,False
318,90.0,False
319,20.0,False
320,65.0,False
321,31.0,False
322,10.0,False
323,16.0,False
324,13.0,False
325,16.0,False
326,15.0,False
327,18.0,False
328,10.0,False
329,26.0,False
330,19.0,False
331,10.0,False
332,40.0,False
333,11.0,False
334,22.0,False
335,36.0,False
336,26.0,False
337,14.0,False
338,34.0,False
339,40.0,False
340,29.0,False
341,20.0,False
342,16.0,False
343,16.0,False
344,10.0,False
345,23.0,False
346,12.0,False
347,17.0,False
348,55.0,False
349,24.0,False
350,26.0,False
351,12.0,False
352,31.0,False
353,20.0,False
354,28.0,False
355,39.0,False
356,10.0,False
357,34.0,False
358,30.0,False
359,25.0,False
360,50.0,False
361,10.0,False
362,16.0,False
363,37.0,False
364,10.0,False
365,50.0,False
366,18.0,False
367,13.0,False
368,16.0,False
369,30.0,False
370,59.0,False
371,32.0,False
372,53.0,False
373,95.0,False
374,36.0,False
375,12.0,False
376,15.0,False
377,12.0,False
378,14.0,False
379,20.0,False
380,13.0,False
381,15.0,False
382,40.0,False
383,11.0,False
384,10.0,False
385,62.0,False
386,26.0,False
387,66.0,False
388,29.0,False
389,31.0,False
390,11.0,False
391,77.0,False
392,36.0,False
393,34.0,False
394,57.0,False
395,13.0,False
396,75.0,False
397,27.0,False
398,10.0,False
399,12.0,False
400,12.0,False
401,24.0,False
402,53.0,False
403,32.0,False
404,20.0,False
405,64.0,False
406,14.0,False
407,26.0,False
408,70.0,False
409,10.0,False
410,17.0,False
411,10.0,False
412,43.0,False
413,10.0,False
414,14.0,False
415,13.0,False
416,112.0,False
417,16.0,False
418,18.0,False
419,15.0,False
420,188.0,False
421,17.0,False
422,28.0,False
423,67.0,False
424,52.0,False
425,23.0,False
426,28.0,False
427,26.0,False
428,19.0,False
429,15.0,False
430,12.0,False
431,14.0,False
432,19.0,False
433,20.0,False
434,45.0,False
435,28.0,False
436,24.0,False
437,42.0,False
438,82.0,False
439,23.0,False
440,20.0,False
441,33.0,False
442,22.0,False
443,39.0,False
444,57.0,False
445,91.0,False
446,36.0,False
447,26.0,False
448,35.0,False
449,43.0,False
450,14.0,False
451,69.0,False
452,17.0,False
453,11.0,False
454,91.0,False
455,47.0,False
456,78.0,False
457,33.0,False
458,12.0,False
459,19.0,False
460,38.0,False
461,17.0,False
462,13.0,False
463,50.0,False
464,34.0,False
465,12.0,False
466,44.0,False
467,42.0,False
